Plants Non-Toxic to Cats
Crape Myrtle | Crepe Myrtle  | Lagerstroemia indica | Lythraceae
Creeping Charlie | Swedish Ivy | Plectranthus   | Pilea nummulariifolia | Lamiaceae
Creeping Gloxinia | Maurandya  | Asarina erubescens | Scrophulariaceae
Creeping Mahonia | Tall Mahonia, Mountain Grape, Oregon Grape, Oregon Holly, Holly-leaved Barberry  | Mahonia aquifolium | Berberidaceae
Creeping Pilea | Swedish Ivy | Plectranthus , Creeping Charlie  | Pilea nummulariifolia | Pilea: Uriticaeae; Plectranthus: Lamiaceae
Creeping Rubus | Strawberryleaf Raspberry  | Rubus pedatus | Rosaceae
Creeping Zinnia |   | Sanvitalia spp. | Asteraceae
Crepe Myrtle | Crape Myrtle  | Lagerstroemia indica | Lythraceae
Crimson Bottlebush | Weeping Bottlebrush, Prickly Bottlebrush, Bottlebrush  | Callistemon species | Myrtaceae
Crimson Cup | Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant, Aregelia  | Neoregalia spp. | Bromiliaceae
Crisped Feather Fern | Bold-Sword Fern  | Nephrolepis biserrata | Dryopteridaceae
Crossandra |   | Crossandra species | Acanthaceae
Cucumber | Garden Cucumber  | Cucumis sativus | Cucurbitaceae
Cushion Aloe |   | Aloe retusa | Aloaceae
Cushion Moss | Club Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss  | Selaginella kraussiana | Selaginellaceae
Cyrtudeira | Flame African Violet, Frosty, Flame, Moss agate, Lady Lou, Red African Violet, Acajou  | Episcia reptans | Gesneriaceae
Dainty Rabbits-Foot Fern | Lacy Paw, Lacy Hare's Foot  | Davallia fejeensis | Davalliaceae
Dallas Fern | Bold Sword Fern  | Nephrolepis biserrata | Dryopteridaceae
Dancing Doll Orchid |   | Oncidium flexuosum | Orchidaceae
Desert Trumpet |   | Eriogonium inflatum | Polygonaceae
Dichelostemma | Several varieties  | Dichelostemma species | Amaryllidaceae
Dichorisandra Reginae | Queen's Spiderwort  | Dichorisandra reginae | Commelinaceae
Dill |   | Anethum graveolena | Apiaceae
Dinteranthus |   | Dinteranthus vanzylii | Aizoaceae
Duffii Fern | Duffy Fern, Lemon Button Fern  | Nephrolepsis cordifolia 'duffii' | Nephrolepidaceae
Dwarf Date Palm |   | Phoenix acaulis | Palmae
Dwarf Feather Palm |   | Nephrolepis exalta | Nephrolepidaceae
Dwarf Palm | Good Luck palm, Parlor palm  | Chamaedorea elegans | Palmae
Dwarf Rose-Stripe Star |   | Cryptanthus bivattus minor | Bromelaceae
Dwarf Royal Palm |   | Veitchia merillii | Arecaceae
Dwarf Whitman Fern |   | Nephrolepsis cordifolia plumosa | Nephrolepidaceae
Earth Star | Starfish plant, Green earth star, Vary-leaf star  | Cryptanthus bivattus minor | Bromeliaceae
Easter Cattleya | Easter Orchid  | Cattleya mossiae | Orchidaceae
Easter Daisy |   | Townsendia sericea | Asteraceae
Easter Lily Cactus |   | Echinopsis multiplex | Cactaceae
Easter Orchid | Easter Cattleya  | Cattleya mossiae | Orchidaceae
Edible Banana |   | Musa acuminata | Musaceae
Emerald Ripple Peperomia | Green ripple peperomia, Little fantasy peperpmia  | Peperomia caperata | Piperaceae
English Hawthorn | Midland hawthorn, Smooth hawthorn  | Crataegus laevigata | Rosaceae
Episcia | Lace-Flower Vine, Chocolate Soldier  | Episcia dianthiflora | Gesneriaceae
Fairy Fountain | Feathered Amaranth, Woolflower  | Celosia cristata | Amaranthaeceae
False Aralia |   | Dizygotheca elegantissima | Araliaceae
Fan Tufted Palm | Lady Palm  | Rhapis flabelliformis | Araceae
Feather Palm |   | Nephrolepis exaltata | Nephrolepidaceae
Fennel | Florence Fennel, Finocchio  | Foeniculum vulgare | Umbelliferae
Fiery Reed Orchid |   | Epidendrum ibaguense | Orchidaceae
Fig Leaf Gourd | Malabar Gourd  | Cucurbita ficifolia | Cucurbitaceae
Figleaf Palm | Formosa rice tree, Glossy-leaved paper plant, Big-leaf paper plant  | Fatsia japonica | Araliaceae
Fingernail Plant |   | Neoregelia spectabilis | Bromeliaceae
Fire Weed | Blooming Sally, Great Willow-Herb  | Epilobium angustifolium | Onagraceae
Fish Tail Fern |   | Cyrtomium falcatum | Polypodaceae
